2024-12-23 01:25:24,381 - Epoch 1/10, Loss: 1.7728, Train Acc: 0.2829
2024-12-23 01:25:35,315 - Epoch 2/10, Loss: 1.7336, Train Acc: 0.2955
2024-12-23 01:25:46,306 - Epoch 3/10, Loss: 1.7223, Train Acc: 0.3254
2024-12-23 01:25:57,328 - Epoch 4/10, Loss: 1.7144, Train Acc: 0.3154
2024-12-23 01:26:08,381 - Epoch 5/10, Loss: 1.6974, Train Acc: 0.3527
2024-12-23 01:26:19,759 - Epoch 6/10, Loss: 1.6981, Train Acc: 0.3464
2024-12-23 01:26:31,261 - Epoch 7/10, Loss: 1.6824, Train Acc: 0.3439
2024-12-23 01:26:42,796 - Epoch 8/10, Loss: 1.6805, Train Acc: 0.3734
2024-12-23 01:26:54,368 - Epoch 9/10, Loss: 1.6737, Train Acc: 0.3357
2024-12-23 01:27:05,932 - Epoch 10/10, Loss: 1.6890, Train Acc: 0.3491
2025-05-30 10:27:52,728 - |Epoch 1/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:27:54,919 - |Epoch 2/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:27:57,193 - |Epoch 3/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:27:59,637 - |Epoch 4/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:02,177 - |Epoch 5/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:04,855 - |Epoch 6/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:07,530 - |Epoch 7/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:10,174 - |Epoch 8/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:12,864 - |Epoch 9/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:15,516 - |Epoch 10/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:17,851 - |Epoch 11/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:19,883 - |Epoch 12/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:22,074 - |Epoch 13/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:24,388 - |Epoch 14/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:26,833 - |Epoch 15/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:29,186 - |Epoch 16/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:31,207 - |Epoch 17/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:33,421 - |Epoch 18/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:35,759 - |Epoch 19/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:38,274 - |Epoch 20/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:40,927 - |Epoch 21/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:43,623 - |Epoch 22/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:46,300 - |Epoch 23/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:48,341 - |Epoch 24/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:50,446 - |Epoch 25/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:52,700 - |Epoch 26/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:55,105 - |Epoch 27/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:28:57,649 - |Epoch 28/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
